Request id,Pickup point,Driver id,Status,Request Date & Time,Drop Date & Time,Request Date,Request Time,Drop Date,Drop Time,Request Hour,Time Slot,Trip Completed
619,Airport,1,Trip Completed,07/11/2016 11:51:00,07/11/2016 13:00:00,11/7/2016,11:51:00,11/7/2016,13:00:00,11,Day,Yes
867,Airport,1,Trip Completed,07/11/2016 17:57:00,07/11/2016 18:47:00,11/7/2016,17:57:00,11/7/2016,18:47:00,17,Evening,Yes
1807,City,1,Trip Completed,07/12/2016 09:17:00,07/12/2016 09:58:00,12/7/2016,9:17:00,12/7/2016,9:58:00,9,Morning,Yes
2532,Airport,1,Trip Completed,07/12/2016 21:08:00,07/12/2016 22:03:00,12/7/2016,21:08:00,12/7/2016,22:03:00,21,Evening,Yes
3112,City,1,Trip Completed,13/07/2016 08:33:16,13/07/2016 09:25:47,13/07/2016,8:33:16,13/07/2016,9:25:47,8,Morning,Yes
3879,Airport,1,Trip Completed,13/07/2016 21:57:28,13/07/2016 22:28:59,13/07/2016,21:57:28,13/07/2016,22:28:59,21,Evening,Yes
4270,Airport,1,Trip Completed,14/07/2016 06:15:32,14/07/2016 07:13:15,14/07/2016,6:15:32,14/07/2016,7:13:15,6,Morning,Yes
5510,Airport,1,Trip Completed,15/07/2016 05:11:52,15/07/2016 06:07:52,15/07/2016,5:11:52,15/07/2016,6:07:52,5,Morning,Yes
6248,City,1,Trip Completed,15/07/2016 17:57:27,15/07/2016 18:50:51,15/07/2016,17:57:27,15/07/2016,18:50:51,17,Evening,Yes
267,City,2,Trip Completed,07/11/2016 06:46:00,07/11/2016 07:25:00,11/7/2016,6:46:00,11/7/2016,7:25:00,6,Morning,Yes
1467,Airport,2,Trip Completed,07/12/2016 05:08:00,07/12/2016 06:02:00,12/7/2016,5:08:00,12/7/2016,6:02:00,5,Morning,Yes
1983,City,2,Trip Completed,07/12/2016 12:30:00,07/12/2016 12:57:00,12/7/2016,12:30:00,12/7/2016,12:57:00,12,Day,Yes
2784,Airport,2,Trip Completed,13/07/2016 04:49:20,13/07/2016 05:23:03,13/07/2016,4:49:20,13/07/2016,5:23:03,4,Late Night,Yes
3075,City,2,Trip Completed,13/07/2016 08:02:53,13/07/2016 09:16:19,13/07/2016,8:02:53,13/07/2016,9:16:19,8,Morning,Yes
3379,City,2,Trip Completed,13/07/2016 14:23:02,13/07/2016 15:35:18,13/07/2016,14:23:02,13/07/2016,15:35:18,14,Day,Yes
3482,Airport,2,Trip Completed,13/07/2016 17:23:18,13/07/2016 18:20:51,13/07/2016,17:23:18,13/07/2016,18:20:51,17,Evening,Yes
4652,City,2,Trip Completed,14/07/2016 12:01:02,14/07/2016 12:36:46,14/07/2016,12:01:02,14/07/2016,12:36:46,12,Day,Yes
5335,Airport,2,Trip Completed,14/07/2016 22:24:13,14/07/2016 23:18:52,14/07/2016,22:24:13,14/07/2016,23:18:52,22,Evening,Yes
535,Airport,3,Trip Completed,07/11/2016 10:00:00,07/11/2016 10:31:00,11/7/2016,10:00:00,11/7/2016,10:31:00,10,Day,Yes
960,Airport,3,Trip Completed,07/11/2016 18:45:00,07/11/2016 19:23:00,11/7/2016,18:45:00,11/7/2016,19:23:00,18,Evening,Yes
1934,Airport,3,Trip Completed,07/12/2016 11:17:00,07/12/2016 12:23:00,12/7/2016,11:17:00,12/7/2016,12:23:00,11,Day,Yes
2083,Airport,3,Trip Completed,07/12/2016 15:46:00,07/12/2016 16:40:00,12/7/2016,15:46:00,12/7/2016,16:40:00,15,Day,Yes
2211,Airport,3,Trip Completed,07/12/2016 18:00:00,07/12/2016 18:28:00,12/7/2016,18:00:00,12/7/2016,18:28:00,18,Evening,Yes
3096,Airport,3,Trip Completed,13/07/2016 08:17:29,13/07/2016 09:22:37,13/07/2016,8:17:29,13/07/2016,9:22:37,8,Morning,Yes
3881,Airport,3,Trip Completed,13/07/2016 21:54:18,13/07/2016 22:51:23,13/07/2016,21:54:18,13/07/2016,22:51:23,21,Evening,Yes
5254,City,3,Trip Completed,14/07/2016 21:23:03,14/07/2016 22:25:19,14/07/2016,21:23:03,14/07/2016,22:25:19,21,Evening,Yes
5434,City,3,Trip Completed,15/07/2016 02:41:38,15/07/2016 03:24:43,15/07/2016,2:41:38,15/07/2016,3:24:43,2,Late Night,Yes
5916,City,3,Trip Completed,15/07/2016 10:00:43,15/07/2016 10:53:06,15/07/2016,10:00:43,15/07/2016,10:53:06,10,Day,Yes
669,City,4,Trip Completed,07/11/2016 13:08:00,07/11/2016 13:49:00,11/7/2016,13:08:00,11/7/2016,13:49:00,13,Day,Yes
1567,Airport,4,Trip Completed,07/12/2016 06:21:00,07/12/2016 07:10:00,12/7/2016,6:21:00,12/7/2016,7:10:00,6,Morning,Yes
1826,City,4,Trip Completed,07/12/2016 09:27:00,07/12/2016 10:27:00,12/7/2016,9:27:00,12/7/2016,10:27:00,9,Morning,Yes
2102,City,4,Trip Completed,07/12/2016 16:09:00,07/12/2016 17:01:00,12/7/2016,16:09:00,12/7/2016,17:01:00,16,Day,Yes
2847,Airport,4,Trip Completed,13/07/2016 05:34:20,13/07/2016 06:09:59,13/07/2016,5:34:20,13/07/2016,6:09:59,5,Morning,Yes
3722,Airport,4,Trip Completed,13/07/2016 19:57:59,13/07/2016 20:32:04,13/07/2016,19:57:59,13/07/2016,20:32:04,19,Evening,Yes
4075,City,4,Trip Completed,14/07/2016 02:17:35,14/07/2016 03:21:38,14/07/2016,2:17:35,14/07/2016,3:21:38,2,Late Night,Yes
4686,City,4,Trip Completed,14/07/2016 13:01:10,14/07/2016 13:45:28,14/07/2016,13:01:10,14/07/2016,13:45:28,13,Day,Yes
5771,Airport,4,Trip Completed,15/07/2016 08:30:06,15/07/2016 09:37:20,15/07/2016,8:30:06,15/07/2016,9:37:20,8,Morning,Yes
6106,Airport,4,Trip Completed,15/07/2016 15:01:20,15/07/2016 15:47:31,15/07/2016,15:01:20,15/07/2016,15:47:31,15,Day,Yes
312,City,5,Trip Completed,07/11/2016 07:27:00,07/11/2016 08:31:00,11/7/2016,7:27:00,11/7/2016,8:31:00,7,Morning,Yes
577,Airport,5,Trip Completed,07/11/2016 11:03:00,07/11/2016 12:01:00,11/7/2016,11:03:00,11/7/2016,12:01:00,11,Day,Yes
1179,City,5,Trip Completed,07/11/2016 20:58:00,07/11/2016 21:45:00,11/7/2016,20:58:00,11/7/2016,21:45:00,20,Evening,Yes
1756,Airport,5,Trip Completed,07/12/2016 08:40:00,07/12/2016 09:23:00,12/7/2016,8:40:00,12/7/2016,9:23:00,8,Morning,Yes
2052,City,5,Trip Completed,07/12/2016 14:48:00,07/12/2016 15:50:00,12/7/2016,14:48:00,12/7/2016,15:50:00,14,Day,Yes
2559,City,5,Trip Completed,07/12/2016 21:32:00,07/12/2016 22:29:00,12/7/2016,21:32:00,12/7/2016,22:29:00,21,Evening,Yes
3014,City,5,Trip Completed,13/07/2016 07:28:14,13/07/2016 08:29:47,13/07/2016,7:28:14,13/07/2016,8:29:47,7,Morning,Yes
3317,City,5,Trip Completed,13/07/2016 12:14:27,13/07/2016 12:46:38,13/07/2016,12:14:27,13/07/2016,12:46:38,12,Day,Yes
4297,City,5,Trip Completed,14/07/2016 06:43:01,14/07/2016 07:49:38,14/07/2016,6:43:01,14/07/2016,7:49:38,6,Morning,Yes
5857,Airport,5,Trip Completed,15/07/2016 09:08:50,15/07/2016 10:07:07,15/07/2016,9:08:50,15/07/2016,10:07:07,9,Morning,Yes
6690,Airport,5,Trip Completed,15/07/2016 22:41:41,15/07/2016 23:51:00,15/07/2016,22:41:41,15/07/2016,23:51:00,22,Evening,Yes
1517,Airport,6,Trip Completed,07/12/2016 05:45:00,07/12/2016 06:28:00,12/7/2016,5:45:00,12/7/2016,6:28:00,5,Morning,Yes
1999,Airport,6,Trip Completed,07/12/2016 13:02:00,07/12/2016 13:51:00,12/7/2016,13:02:00,12/7/2016,13:51:00,13,Day,Yes
2960,Airport,6,Trip Completed,13/07/2016 06:50:33,13/07/2016 07:40:35,13/07/2016,6:50:33,13/07/2016,7:40:35,6,Morning,Yes
3882,City,6,Trip Completed,13/07/2016 21:53:03,13/07/2016 22:45:24,13/07/2016,21:53:03,13/07/2016,22:45:24,21,Evening,Yes
4081,Airport,6,Trip Completed,14/07/2016 02:37:14,14/07/2016 03:30:27,14/07/2016,2:37:14,14/07/2016,3:30:27,2,Late Night,Yes
4740,City,6,Trip Completed,14/07/2016 14:50:07,14/07/2016 15:38:14,14/07/2016,14:50:07,14/07/2016,15:38:14,14,Day,Yes
5270,City,6,Trip Completed,14/07/2016 21:33:55,14/07/2016 22:25:43,14/07/2016,21:33:55,14/07/2016,22:25:43,21,Evening,Yes
6758,Airport,6,Trip Completed,15/07/2016 00:03:39,15/07/2016 01:07:39,15/07/2016,0:03:39,15/07/2016,1:07:39,0,Late Night,Yes
5741,City,6,Trip Completed,15/07/2016 07:52:51,15/07/2016 08:38:55,15/07/2016,7:52:51,15/07/2016,8:38:55,7,Morning,Yes
6087,Airport,6,Trip Completed,15/07/2016 14:28:50,15/07/2016 15:33:53,15/07/2016,14:28:50,15/07/2016,15:33:53,14,Day,Yes
1039,City,7,Trip Completed,07/11/2016 19:31:00,07/11/2016 20:41:00,11/7/2016,19:31:00,11/7/2016,20:41:00,19,Evening,Yes
1273,Airport,7,Trip Completed,07/11/2016 22:07:00,07/11/2016 23:12:00,11/7/2016,22:07:00,11/7/2016,23:12:00,22,Evening,Yes
2480,City,7,Trip Completed,07/12/2016 20:39:00,07/12/2016 21:28:00,12/7/2016,20:39:00,12/7/2016,21:28:00,20,Evening,Yes
4105,City,7,Trip Completed,14/07/2016 03:39:38,14/07/2016 04:39:04,14/07/2016,3:39:38,14/07/2016,4:39:04,3,Late Night,Yes
4509,City,7,Trip Completed,14/07/2016 09:11:13,14/07/2016 10:17:01,14/07/2016,9:11:13,14/07/2016,10:17:01,9,Morning,Yes
4986,Airport,7,Trip Completed,14/07/2016 18:52:32,14/07/2016 19:50:57,14/07/2016,18:52:32,14/07/2016,19:50:57,18,Evening,Yes
5898,City,7,Trip Completed,15/07/2016 09:50:28,15/07/2016 10:40:39,15/07/2016,9:50:28,15/07/2016,10:40:39,9,Morning,Yes
6142,Airport,7,Trip Completed,15/07/2016 15:50:15,15/07/2016 16:36:56,15/07/2016,15:50:15,15/07/2016,16:36:56,15,Day,Yes
380,Airport,8,Trip Completed,07/11/2016 08:18:00,07/11/2016 09:18:00,11/7/2016,8:18:00,11/7/2016,9:18:00,8,Morning,Yes
1050,Airport,8,Trip Completed,07/11/2016 19:39:00,07/11/2016 20:30:00,11/7/2016,19:39:00,11/7/2016,20:30:00,19,Evening,Yes
1769,City,8,Trip Completed,07/12/2016 08:57:00,07/12/2016 09:24:00,12/7/2016,8:57:00,12/7/2016,9:24:00,8,Morning,Yes
2520,City,8,Trip Completed,07/12/2016 21:05:00,07/12/2016 22:20:00,12/7/2016,21:05:00,12/7/2016,22:20:00,21,Evening,Yes
3265,Airport,8,Trip Completed,13/07/2016 10:22:07,13/07/2016 11:07:02,13/07/2016,10:22:07,13/07/2016,11:07:02,10,Day,Yes
4648,City,8,Trip Completed,14/07/2016 11:55:10,14/07/2016 12:59:34,14/07/2016,11:55:10,14/07/2016,12:59:34,11,Day,Yes
449,Airport,9,Trip Completed,07/11/2016 09:08:00,07/11/2016 09:52:00,11/7/2016,9:08:00,11/7/2016,9:52:00,9,Morning,Yes
846,Airport,9,Trip Completed,07/11/2016 17:46:00,07/11/2016 18:52:00,11/7/2016,17:46:00,11/7/2016,18:52:00,17,Evening,Yes
1346,Airport,9,Trip Completed,07/11/2016 23:39:00,07/12/2016 00:23:00,11/7/2016,23:39:00,12/7/2016,0:23:00,23,Evening,Yes
1474,Airport,9,Trip Completed,07/12/2016 05:13:00,07/12/2016 05:56:00,12/7/2016,5:13:00,12/7/2016,5:56:00,5,Morning,Yes
2240,City,9,Trip Completed,07/12/2016 18:20:00,07/12/2016 18:54:00,12/7/2016,18:20:00,12/7/2016,18:54:00,18,Evening,Yes
3072,Airport,9,Trip Completed,13/07/2016 08:04:57,13/07/2016 08:36:37,13/07/2016,8:04:57,13/07/2016,8:36:37,8,Morning,Yes
3459,Airport,9,Trip Completed,13/07/2016 17:03:30,13/07/2016 17:31:49,13/07/2016,17:03:30,13/07/2016,17:31:49,17,Evening,Yes
