Request_id,Pickup_point,Driver_id,Status,Request_DateTime,Drop_DateTime,Request_Date,Request_Time,Drop_Date,Drop_Time,Request_Hour,Time_Slot,Trip_Completed,
1,Airport,285,Trip Completed,11/7/2016 0:20,11/7/2016 0:51,11/7/2016,12:20:00 AM,11/7/2016,12:51:00 AM,0,Late Night,Yes,
2,Airport,NA,No Cars Available,11/7/2016 0:23,NA,11/7/2016,12:23:00 AM,NA,NA,0,Late Night,No,
3,Airport,80,Trip Completed,11/7/2016 0:24,11/7/2016 1:31,11/7/2016,12:24:00 AM,11/7/2016,1:31:00 AM,0,Late Night,Yes,
4,City,NA,No Cars Available,11/7/2016 0:37,NA,11/7/2016,12:37:00 AM,NA,NA,0,Late Night,No,
5,Airport,264,Trip Completed,11/7/2016 0:36,11/7/2016 1:35,11/7/2016,12:36:00 AM,11/7/2016,1:35:00 AM,0,Late Night,Yes,
6,City,NA,No Cars Available,11/7/2016 0:36,NA,11/7/2016,12:36:00 AM,NA,NA,0,Late Night,No,
7,Airport,NA,No Cars Available,11/7/2016 0:30,NA,11/7/2016,12:30:00 AM,NA,NA,0,Late Night,No,
8,City,NA,No Cars Available,11/7/2016 0:40,NA,11/7/2016,12:40:00 AM,NA,NA,0,Late Night,No,
9,Airport,235,Trip Completed,11/7/2016 0:45,11/7/2016 2:00,11/7/2016,12:45:00 AM,11/7/2016,2:00:00 AM,0,Late Night,Yes,
10,City,228,Trip Completed,11/7/2016 0:54,11/7/2016 1:59,11/7/2016,12:54:00 AM,11/7/2016,1:59:00 AM,0,Late Night,Yes,
11,City,198,Trip Completed,11/7/2016 1:00,11/7/2016 1:53,11/7/2016,1:00:00 AM,11/7/2016,1:53:00 AM,1,Late Night,Yes,
12,City,NA,No Cars Available,11/7/2016 1:08,NA,11/7/2016,1:08:00 AM,NA,NA,1,Late Night,No,
13,City,119,Trip Completed,11/7/2016 1:08,11/7/2016 1:58,11/7/2016,1:08:00 AM,11/7/2016,1:58:00 AM,1,Late Night,Yes,
